date,year,month,day,weekday,prize1,top3,top2,front3_1,front3_2,back3_1,back3_2,bottom2
1999-12-30,1999,12,30,พฤหัสบดี,051108,108,08,061,263,540,301,03
2000-01-16,2000,1,16,อาทิตย์,442183,183,83,540,950,269,847,82
2000-02-01,2000,2,1,อังคาร,530213,213,13,109,926,094,597,85
2000-02-16,2000,2,16,พุธ,729816,816,16,631,916,618,181,91
2000-03-01,2000,3,1,พุธ,997833,833,33,817,250,627,416,63
2000-03-16,2000,3,16,พฤหัสบดี,164311,311,11,009,460,071,326,65
2000-04-01,2000,4,1,เสาร์,963948,948,48,477,535,511,018,99
2000-04-16,2000,4,16,อาทิตย์,836777,777,77,950,273,131,362,63
2000-05-02,2000,5,2,อังคาร,070715,715,15,422,287,979,740,20
2000-05-16,2000,5,16,อังคาร,009315,315,15,226,035,929,174,56
2000-06-01,2000,6,1,พฤหัสบดี,592761,761,61,716,705,981,810,16
2000-06-16,2000,6,16,ศุกร์,825696,696,96,592,832,311,771,57
2000-07-01,2000,7,1,เสาร์,674071,071,71,946,761,689,190,29
2000-07-16,2000,7,16,อาทิตย์,931342,342,42,397,237,739,656,43
2000-08-01,2000,8,1,อังคาร,267540,540,40,881,930,665,463,18
2000-08-16,2000,8,16,พุธ,459013,013,13,087,378,155,120,57
2000-09-01,2000,9,1,ศุกร์,437367,367,67,952,290,365,474,52
2000-09-16,2000,9,16,เสาร์,046251,251,51,933,806,860,230,05
2000-10-01,2000,10,1,อาทิตย์,290582,582,82,690,436,618,070,26
2000-10-16,2000,10,16,จันทร์,620662,662,62,276,607,133,372,39
2000-11-01,2000,11,1,พุธ,093182,182,82,046,606,818,407,90
2000-11-16,2000,11,16,พฤหัสบดี,565311,311,11,494,381,044,304,10
2000-12-01,2000,12,1,ศุกร์,887956,956,56,454,664,170,933,56
2000-12-16,2000,12,16,เสาร์,969676,676,76,555,267,313,605,91
2000-12-30,2000,12,30,เสาร์,119451,451,51,600,763,985,357,31
2001-01-16,2001,1,16,อังคาร,737016,016,16,358,515,778,035,36
2001-02-01,2001,2,1,พฤหัสบดี,454703,703,03,089,437,245,063,13
2001-02-16,2001,2,16,ศุกร์,621267,267,67,155,275,673,305,47
2001-03-01,2001,3,1,พฤหัสบดี,836537,537,37,356,147,292,380,85
2001-03-16,2001,3,16,ศุกร์,633616,616,16,400,773,903,350,45
2001-04-01,2001,4,1,อาทิตย์,640998,998,98,600,061,407,877,49
2001-04-16,2001,4,16,จันทร์,140843,843,43,031,952,800,378,28
2001-05-02,2001,5,2,พุธ,205095,095,95,980,543,294,099,64
2001-05-16,2001,5,16,พุธ,091982,982,82,437,507,055,080,61
2001-06-01,2001,6,1,ศุกร์,113311,311,11,490,983,310,920,80
2001-06-16,2001,6,16,เสาร์,762394,394,94,550,395,606,922,75
2001-07-01,2001,7,1,อาทิตย์,107987,987,87,364,296,985,546,34
2001-07-16,2001,7,16,จันทร์,820715,715,15,250,171,282,767,50
2001-08-01,2001,8,1,พุธ,180597,597,97,602,086,864,848,11
2001-08-16,2001,8,16,พฤหัสบดี,690135,135,35,217,717,900,588,10
2001-09-01,2001,9,1,เสาร์,119067,067,67,145,294,218,532,14
2001-09-16,2001,9,16,อาทิตย์,616426,426,26,995,806,291,089,82
2001-10-01,2001,10,1,จันทร์,104154,154,54,827,303,287,058,15
2001-10-16,2001,10,16,อังคาร,975005,005,05,070,626,110,670,48
2001-11-01,2001,11,1,พฤหัสบดี,683472,472,72,392,081,694,431,52
2001-11-16,2001,11,16,ศุกร์,685706,706,06,339,976,600,275,74
2001-12-01,2001,12,1,เสาร์,737022,022,22,713,461,773,925,49
2001-12-16,2001,12,16,อาทิตย์,224675,675,75,887,538,363,902,19
2001-12-30,2001,12,30,อาทิตย์,729367,367,67,873,974,611,107,64
2002-01-16,2002,1,16,พุธ,709670,670,70,895,116,434,109,14
2002-02-01,2002,2,1,ศุกร์,633270,270,70,956,414,621,859,40
2002-02-16,2002,2,16,เสาร์,330853,853,53,167,820,088,769,92
2002-03-01,2002,3,1,ศุกร์,805590,590,90,748,715,434,856,55
2002-03-16,2002,3,16,เสาร์,659152,152,52,370,066,707,943,04
2002-04-01,2002,4,1,จันทร์,990543,543,43,971,430,225,456,57
2002-04-16,2002,4,16,อังคาร,522630,630,30,586,949,997,085,37
2002-05-02,2002,5,2,พฤหัสบดี,590664,664,64,764,739,695,503,56
2002-05-16,2002,5,16,พฤหัสบดี,598714,714,14,765,725,394,508,76
2002-06-01,2002,6,1,เสาร์,161149,149,49,879,643,328,485,02
2002-06-16,2002,6,16,อาทิตย์,073261,261,61,472,156,662,845,07
2002-07-01,2002,7,1,จันทร์,481447,447,47,195,517,763,802,24
2002-07-16,2002,7,16,อังคาร,340264,264,64,304,632,539,034,69
2002-08-01,2002,8,1,พฤหัสบดี,493438,438,38,269,645,544,529,88
2002-08-16,2002,8,16,ศุกร์,120108,108,08,705,173,953,147,57
2002-09-01,2002,9,1,อาทิตย์,994200,200,00,126,799,046,395,51
2002-09-16,2002,9,16,จันทร์,156050,050,50,056,889,823,169,85
2002-10-01,2002,10,1,อังคาร,802505,505,05,864,567,358,189,72
2002-10-16,2002,10,16,พุธ,428641,641,41,150,401,244,177,51
2002-11-01,2002,11,1,ศุกร์,505498,498,98,341,297,747,383,25
2002-11-16,2002,11,16,เสาร์,915344,344,44,191,843,789,906,55
2002-12-01,2002,12,1,อาทิตย์,968422,422,22,298,088,337,809,37
2002-12-16,2002,12,16,จันทร์,019682,682,82,616,312,075,849,67
2002-12-30,2002,12,30,จันทร์,895196,196,96,191,116,689,609,95
2003-01-16,2003,1,16,พฤหัสบดี,977085,085,85,441,535,519,262,06
2003-02-01,2003,2,1,เสาร์,456370,370,70,661,429,806,229,94
2003-02-17,2003,2,17,จันทร์,455578,578,78,805,496,980,857,61
2003-03-01,2003,3,1,เสาร์,441022,022,22,322,026,707,628,42
2003-03-16,2003,3,16,อาทิตย์,653062,062,62,820,208,702,038,64
2003-04-01,2003,4,1,อังคาร,933164,164,64,467,863,732,902,86
2003-04-16,2003,4,16,พุธ,892525,525,25,933,906,796,823,21
2003-05-02,2003,5,2,ศุกร์,135603,603,03,498,870,386,522,12
2003-05-16,2003,5,16,ศุกร์,552784,784,84,608,048,699,362,20
2003-06-01,2003,6,1,อาทิตย์,766066,066,66,083,523,354,686,36
2003-06-16,2003,6,16,จันทร์,389872,872,72,605,995,922,006,29
2003-07-01,2003,7,1,อังคาร,461414,414,14,151,878,395,282,91
2003-07-16,2003,7,16,พุธ,679545,545,45,049,589,281,363,75
2003-08-01,2003,8,1,ศุกร์,766098,098,98,733,856,007,460,91
2003-08-16,2003,8,16,เสาร์,354771,771,71,496,271,206,624,00
2003-09-01,2003,9,1,จันทร์,187813,813,13,661,918,793,249,92
2003-09-16,2003,9,16,อังคาร,600589,589,89,909,356,996,494,53
2003-10-01,2003,10,1,พุธ,912040,040,40,407,100,379,563,43
2003-10-16,2003,10,16,พฤหัสบดี,305500,500,00,109,012,084,470,03
2003-11-01,2003,11,1,เสาร์,941438,438,38,866,156,216,264,47
2003-11-16,2003,11,16,อาทิตย์,238511,511,11,155,767,594,474,68
2003-12-01,2003,12,1,จันทร์,991307,307,07,945,719,559,217,78
2003-12-16,2003,12,16,อังคาร,177947,947,47,676,847,735,571,87
2003-12-30,2003,12,30,อังคาร,739447,447,47,654,435,743,216,64
2004-01-16,2004,1,16,ศุกร์,731342,342,42,025,357,926,391,96
2004-02-01,2004,2,1,อาทิตย์,216822,822,22,361,242,769,765,77
2004-02-16,2004,2,16,จันทร์,698002,002,02,877,309,798,072,00
2004-03-01,2004,3,1,จันทร์,697483,483,83,610,510,759,206,50
2004-03-16,2004,3,16,อังคาร,615366,366,66,779,094,478,830,69
2004-04-01,2004,4,1,พฤหัสบดี,196391,391,91,808,918,257,851,62
2004-04-16,2004,4,16,ศุกร์,705832,832,32,008,966,634,721,12
2004-05-02,2004,5,2,อาทิตย์,653403,403,03,385,550,822,101,91
2004-05-16,2004,5,16,อาทิตย์,589207,207,07,492,992,526,253,13
2004-06-01,2004,6,1,อังคาร,614144,144,44,990,776,425,992,72
2004-06-16,2004,6,16,พุธ,208713,713,13,414,911,459,986,87
2004-07-01,2004,7,1,พฤหัสบดี,312471,471,71,313,598,664,261,66
2004-07-16,2004,7,16,ศุกร์,205588,588,88,696,726,461,154,25
2004-08-02,2004,8,2,จันทร์,868990,990,90,956,811,510,377,45
2004-08-16,2004,8,16,จันทร์,335921,921,21,114,082,559,288,59
2004-09-01,2004,9,1,พุธ,096597,597,97,709,929,014,456,70
2004-09-16,2004,9,16,พฤหัสบดี,923373,373,73,295,888,774,867,59
2004-10-01,2004,10,1,ศุกร์,110866,866,66,200,547,781,806,66
2004-10-16,2004,10,16,เสาร์,355858,858,58,162,200,438,890,62
2004-11-01,2004,11,1,จันทร์,185966,966,66,862,137,745,661,23
2004-11-16,2004,11,16,อังคาร,754622,622,22,918,019,744,904,64
2004-12-01,2004,12,1,พุธ,504658,658,58,139,014,984,691,69
2004-12-16,2004,12,16,พฤหัสบดี,479372,372,72,288,075,999,183,17
2004-12-30,2004,12,30,พฤหัสบดี,168858,858,58,221,603,627,179,28
2005-01-16,2005,1,16,อาทิตย์,335022,022,22,689,291,039,479,08
2005-02-01,2005,2,1,อังคาร,540054,054,54,389,180,863,571,34
2005-02-16,2005,2,16,พุธ,816422,422,22,086,356,192,065,53
2005-03-01,2005,3,1,อังคาร,800751,751,51,681,714,998,669,93
2005-03-16,2005,3,16,พุธ,196345,345,45,073,601,783,394,03
2005-04-01,2005,4,1,ศุกร์,815753,753,53,482,381,224,807,69
2005-04-16,2005,4,16,เสาร์,119327,327,27,081,968,346,627,10
2005-05-02,2005,5,2,จันทร์,772467,467,67,017,383,815,073,43
2005-05-16,2005,5,16,จันทร์,867134,134,34,376,648,465,693,97
2005-06-01,2005,6,1,พุธ,176893,893,93,579,616,405,,35
2005-06-16,2005,6,16,พฤหัสบดี,793070,070,70,806,021,074,605,44
2005-07-01,2005,7,1,ศุกร์,009554,554,54,798,427,641,244,87
2005-07-16,2005,7,16,เสาร์,477452,452,52,757,150,460,642,13
2005-08-01,2005,8,1,จันทร์,961633,633,33,055,152,386,272,26
2005-08-16,2005,8,16,อังคาร,475560,560,60,272,844,103,915,68
2005-09-01,2005,9,1,พฤหัสบดี,316933,933,33,123,338,969,047,17
2005-09-16,2005,9,16,ศุกร์,214768,768,68,498,282,124,057,10
2005-10-01,2005,10,1,เสาร์,766482,482,82,551,792,275,,24
2005-10-16,2005,10,16,อาทิตย์,041072,072,72,346,913,269,,71
2005-11-01,2005,11,1,อังคาร,970577,577,77,171,375,009,216,98
2005-11-16,2005,11,16,พุธ,742518,518,18,502,741,887,137,80
2005-12-01,2005,12,1,พฤหัสบดี,388551,551,51,072,764,027,770,17
2005-12-16,2005,12,16,ศุกร์,449565,565,65,802,162,958,994,86
2005-12-30,2005,12,30,ศุกร์,492955,955,55,066,308,742,150,94
2006-01-16,2006,1,16,จันทร์,432747,747,47,222,789,965,200,79
2006-02-01,2006,2,1,พุธ,412729,729,29,915,720,149,384,87
2006-02-16,2006,2,16,พฤหัสบดี,317009,009,09,784,240,135,280,66
2006-03-01,2006,3,1,พุธ,582473,473,73,586,801,108,914,43
2006-03-16,2006,3,16,พฤหัสบดี,936177,177,77,486,185,205,320,30
2006-04-01,2006,4,1,เสาร์,738365,365,65,064,955,301,522,95
2006-04-16,2006,4,16,อาทิตย์,038564,564,64,210,442,769,877,49
2006-05-02,2006,5,2,อังคาร,024554,554,54,006,438,082,117,27
2006-05-16,2006,5,16,อังคาร,100344,344,44,386,463,811,696,71
2006-06-01,2006,6,1,พฤหัสบดี,810850,850,50,526,149,382,664,99
2006-06-16,2006,6,16,ศุกร์,100935,935,35,381,410,595,250,17
2006-07-01,2006,7,1,เสาร์,952890,890,90,126,183,017,839,65
2006-07-16,2006,7,16,อาทิตย์,512434,434,34,989,098,518,432,48
2006-08-01,2006,8,1,อังคาร,238654,654,54,847,005,817,487,88
2006-08-16,2006,8,16,พุธ,977486,486,86,221,305,230,103,91
2006-09-01,2006,9,1,ศุกร์,381761,761,61,600,693,093,626,44
2006-09-16,2006,9,16,เสาร์,217948,948,48,916,290,864,121,41
2006-10-01,2006,10,1,อาทิตย์,952335,335,35,007,804,879,951,92
2006-10-16,2006,10,16,จันทร์,264825,825,25,903,092,358,832,58
2006-11-01,2006,11,1,พุธ,910957,957,57,647,739,137,905,29
2006-11-16,2006,11,16,พฤหัสบดี,562856,856,56,508,307,680,347,94
2006-12-01,2006,12,1,ศุกร์,270052,052,52,621,462,091,236,12
2006-12-16,2006,12,16,เสาร์,147977,977,77,439,694,647,197,45
2006-12-30,2006,12,30,เสาร์,778584,584,84,811,403,164,971,07
2007-01-16,2007,1,16,อังคาร,838739,739,39,293,263,845,803,55
2007-02-01,2007,2,1,พฤหัสบดี,769925,925,25,893,239,287,865,56
2007-02-16,2007,2,16,ศุกร์,277859,859,59,625,607,979,384,95
2007-03-01,2007,3,1,พฤหัสบดี,742425,425,25,949,294,942,801,61
2007-03-16,2007,3,16,ศุกร์,876763,763,63,191,001,906,350,85
2007-04-01,2007,4,1,อาทิตย์,622780,780,80,677,794,814,022,93
2007-04-16,2007,4,16,จันทร์,405105,105,05,013,987,866,522,63
2007-05-02,2007,5,2,พุธ,430374,374,74,553,442,881,729,81
2007-05-16,2007,5,16,พุธ,232897,897,97,924,858,751,585,25
2007-06-01,2007,6,1,ศุกร์,836393,393,93,739,242,523,433,05
2007-06-16,2007,6,16,เสาร์,393194,194,94,989,907,424,589,41
2007-07-01,2007,7,1,อาทิตย์,565151,151,51,146,287,638,949,76
2007-07-16,2007,7,16,จันทร์,527384,384,84,105,183,334,947,77
2007-08-01,2007,8,1,พุธ,429924,924,24,006,048,885,962,29
2007-08-16,2007,8,16,พฤหัสบดี,476207,207,07,234,236,312,424,93
2007-09-01,2007,9,1,เสาร์,331810,810,10,293,505,518,520,69
2007-09-16,2007,9,16,อาทิตย์,499336,336,36,247,273,604,608,45
2007-10-01,2007,10,1,จันทร์,430667,667,67,090,104,126,,76
2007-10-16,2007,10,16,อังคาร,032988,988,88,158,663,685,846,48
2007-11-01,2007,11,1,พฤหัสบดี,927907,907,07,213,277,524,648,88
2007-11-16,2007,11,16,ศุกร์,562481,481,81,130,198,752,844,73
2007-12-01,2007,12,1,เสาร์,113410,410,10,418,485,627,659,18
2007-12-16,2007,12,16,อาทิตย์,513501,501,01,425,432,460,702,96
2007-12-30,2007,12,30,อาทิตย์,595411,411,11,267,490,741,787,81
2008-01-16,2008,1,16,พุธ,556010,010,10,413,548,942,965,81
2008-02-01,2008,2,1,ศุกร์,212684,684,84,311,472,732,796,26
2008-02-16,2008,2,16,เสาร์,137054,054,54,344,512,630,892,80
2008-03-01,2008,3,1,เสาร์,936685,685,85,056,085,371,691,05
2008-03-16,2008,3,16,อาทิตย์,074946,946,46,077,974,085,158,33
2008-04-01,2008,4,1,อังคาร,012653,653,53,124,195,200,586,71
2008-04-16,2008,4,16,พุธ,982800,800,00,802,584,043,008,64
2008-05-02,2008,5,2,ศุกร์,453011,011,11,001,133,001,792,62
2008-05-16,2008,5,16,ศุกร์,329231,231,31,193,120,355,214,69
2008-06-01,2008,6,1,อาทิตย์,414875,875,75,370,666,747,916,35
2008-06-16,2008,6,16,จันทร์,729111,111,11,339,345,639,870,75
2008-07-01,2008,7,1,อังคาร,943671,671,71,096,287,490,523,50
2008-07-16,2008,7,16,พุธ,257374,374,74,344,401,486,576,41
2008-08-01,2008,8,1,ศุกร์,850348,348,48,236,386,408,913,11
2008-08-16,2008,8,16,เสาร์,380377,377,77,161,445,457,744,36
2008-09-01,2008,9,1,จันทร์,695993,993,93,027,206,413,904,09
2008-09-16,2008,9,16,อังคาร,012377,377,77,378,534,557,691,56
2008-10-01,2008,10,1,พุธ,882911,911,11,204,302,311,395,67
2008-10-16,2008,10,16,พฤหัสบดี,431277,277,77,324,526,644,648,98
2008-11-01,2008,11,1,เสาร์,272028,028,28,285,333,421,929,76
2008-11-16,2008,11,16,อาทิตย์,002612,612,12,068,589,824,877,20
2008-12-01,2008,12,1,จันทร์,205434,434,34,013,260,617,957,05
2008-12-16,2008,12,16,อังคาร,074114,114,14,305,715,803,959,25
2008-12-30,2008,12,30,อังคาร,218596,596,96,094,197,831,984,22
2009-01-16,2009,1,16,ศุกร์,743212,212,12,266,800,842,885,25
2009-02-01,2009,2,1,อาทิตย์,534533,533,33,660,777,015,427,69
2009-02-16,2009,2,16,จันทร์,038730,730,30,961,939,115,434,93
2009-03-01,2009,3,1,อาทิตย์,553091,091,91,224,238,665,295,67
2009-03-16,2009,3,16,จันทร์,268812,812,12,228,929,424,063,36
2009-04-01,2009,4,1,พุธ,816578,578,78,572,363,113,044,50
2009-04-16,2009,4,16,พฤหัสบดี,368415,415,15,954,179,007,570,33
2009-05-02,2009,5,2,เสาร์,294452,452,52,222,549,947,301,11
2009-05-16,2009,5,16,เสาร์,111411,411,11,368,838,362,892,54
